CustomerID,Recency,Frequency,Monetary
1,545,1,11.77
2,534,2,89.0
3,33,6,156.46
4,200,4,100.5
5,178,11,385.61
6,545,1,20.99
7,100,3,264.67
8,93,8,197.66
9,22,3,95.85
10,525,1,39.31
11,130,4,58.55
12,545,1,57.06
13,545,1,72.94
14,545,1,29.92
15,545,1,52.87
16,293,4,79.87
17,545,1,73.22
18,542,1,14.96
19,385,2,175.12
20,528,2,653.01
21,533,2,75.11
22,545,1,14.37
23,545,1,24.74
24,161,2,57.77
25,22,8,137.53
26,520,2,102.69
27,534,2,135.87
28,479,3,90.99
29,65,12,435.81
30,501,2,28.34
31,36,4,177.05
32,111,3,78.21
33,109,25,1045.47
34,545,1,23.14
35,276,2,42.22
36,512,2,49.68
37,48,6,155.68
38,545,1,12.49
39,111,5,221.45
40,114,14,318.94
41,545,1,17.99
42,544,2,38.32
43,37,5,117.32
44,376,3,59.65
45,545,1,14.37
46,230,7,315.87
47,24,21,427.8
48,17,20,649.93
49,545,1,27.94
50,545,1,6.79
51,211,6,367.38
52,53,8,445.68
53,57,6,86.21
54,545,1,33.96
55,536,2,81.45
56,195,4,129.19
57,545,1,57.86
58,545,1,20.99
59,521,3,36.53
60,514,1,21.75
61,545,1,155.65
62,244,11,237.15
63,40,4,120.91
64,5,13,367.37
65,100,3,68.74
66,545,1,39.99
67,529,3,71.49
68,545,1,40.36
69,542,2,217.08
70,545,1,72.23
71,545,1,13.97
72,545,1,11.99
73,471,3,94.57
74,545,1,41.99
75,545,1,69.81
76,545,1,9.99
77,545,1,12.97
78,68,2,95.26
79,545,1,77.44
80,545,1,43.46
81,276,14,430.69
82,81,6,242.8
83,73,4,101.68
84,545,1,13.97
85,543,1,26.31
86,545,1,23.94
87,265,4,206.55
88,251,2,34.97
89,20,18,571.88
90,538,2,24.67
91,545,1,32.54
92,440,2,53.34
93,543,2,219.33
94,544,1,44.1
95,6,29,1515.27
96,3,19,1445.99
97,94,4,324.75
98,403,2,76.46
99,196,7,267.25
100,71,3,55.24
101,528,1,23.54
102,121,4,157.47
103,74,3,110.49
104,545,1,14.96
105,545,1,35.31
106,150,6,202.1
107,545,1,21.99
108,545,1,17.96
109,513,2,204.46
110,545,1,27.94
111,10,16,1107.04
112,510,2,23.54
113,115,3,59.67
114,139,5,124.93
115,545,1,13.97
116,545,1,12.77
117,103,3,58.97
118,371,2,73.85
119,545,1,41.69
120,194,5,103.51
121,545,1,12.49
122,545,1,27.74
123,545,1,31.99
124,200,5,138.35
125,22,6,108.64
126,210,2,302.75
127,545,1,39.71
128,331,4,67.86
129,545,1,12.49
130,62,8,120.95
131,545,1,30.32
132,50,6,302.43
133,231,7,199.17
134,173,3,49.38
135,545,2,84.39
136,216,2,81.96
137,545,1,27.73
138,545,1,14.99
139,540,1,11.77
140,423,2,44.06
141,54,7,147.75
142,80,5,122.39
143,545,2,41.48
144,545,1,30.72
145,31,23,521.96
146,545,1,13.97
147,199,8,288.07
148,101,7,146.44
149,522,2,106.54
150,545,1,15.36
151,545,1,13.97
152,163,6,243.96
153,545,1,6.79
154,65,5,69.19
155,545,1,23.99
156,545,1,10.77
157,489,2,80.21
158,545,1,43.05
159,545,1,19.75
160,545,1,19.74
161,29,11,416.91
162,545,1,119.54
163,545,1,25.74
164,1,8,245.59
165,29,3,34.75
166,34,8,173.18
167,202,8,186.46
168,545,1,14.96
169,545,1,11.77
170,154,2,74.39
171,545,1,14.96
172,545,1,50.95
173,88,2,49.83
174,540,2,36.73
175,545,1,27.77
176,545,1,11.77
177,48,32,570.08
178,545,1,12.49
179,126,11,174.03
180,306,2,62.59
181,545,1,43.7
182,43,4,91.72
183,545,1,9.99
184,43,2,31.87
185,39,5,115.19
186,286,2,34.45
187,513,2,36.11
188,545,1,13.77
189,545,1,294.03
190,545,1,15.36
191,541,1,70.23
192,333,6,160.23
193,545,1,27.94
194,535,2,255.78
195,161,7,113.79
196,545,1,25.54
197,421,3,53.97
198,545,1,15.76
199,545,1,14.37
200,524,2,84.29
201,63,5,73.3
202,544,2,146.46
203,341,4,63.83
204,531,1,72.23
205,205,4,102.07
206,545,1,17.99
207,226,3,94.26
208,129,2,133.63
209,472,3,116.17
210,96,2,86.03
211,545,1,7.78
212,545,1,14.37
213,527,2,22.54
214,252,7,222.22
215,545,1,11.77
216,545,1,13.97
217,28,4,195.92
218,509,1,57.48
219,409,2,74.02
220,545,1,57.85
221,545,1,12.49
222,243,3,86.33
223,545,1,47.93
224,545,1,28.33
225,333,5,105.61
226,56,6,170.12
227,310,5,164.58
228,175,13,339.79
229,3,5,83.49
230,389,2,79.96
231,545,1,69.04
232,545,1,42.98
233,545,1,12.99
234,511,2,23.96
235,545,1,7.98
236,545,1,16.7
237,545,1,23.54
