CustomerID,Recency,Frequency,Monetary,Cluster
1,545,1,11.77,Inactive Customers
2,534,2,89.0,Inactive Customers
3,33,6,156.46,Low-Activity Customers
4,200,4,100.5,Low-Activity Customers
5,178,11,385.61,Low-Activity Customers
6,545,1,20.99,Inactive Customers
7,100,3,264.67,Low-Activity Customers
8,93,8,197.66,Low-Activity Customers
9,22,3,95.85,Low-Activity Customers
10,525,1,39.31,Inactive Customers
11,130,4,58.55,Low-Activity Customers
12,545,1,57.06,Inactive Customers
13,545,1,72.94,Inactive Customers
14,545,1,29.92,Inactive Customers
15,545,1,52.87,Inactive Customers
16,293,4,79.87,Low-Activity Customers
17,545,1,73.22,Inactive Customers
18,542,1,14.96,Inactive Customers
19,385,2,175.12,Inactive Customers
20,528,2,653.01,Engaged Customers
21,533,2,75.11,Inactive Customers
22,545,1,14.37,Inactive Customers
23,545,1,24.74,Inactive Customers
24,161,2,57.77,Low-Activity Customers
25,22,8,137.53,Low-Activity Customers
26,520,2,102.69,Inactive Customers
27,534,2,135.87,Inactive Customers
28,479,3,90.99,Inactive Customers
29,65,12,435.81,Low-Activity Customers
30,501,2,28.34,Inactive Customers
31,36,4,177.05,Low-Activity Customers
32,111,3,78.21,Low-Activity Customers
33,109,25,1045.47,Engaged Customers
34,545,1,23.14,Inactive Customers
35,276,2,42.22,Low-Activity Customers
36,512,2,49.68,Inactive Customers
37,48,6,155.68,Low-Activity Customers
38,545,1,12.49,Inactive Customers
39,111,5,221.45,Low-Activity Customers
40,114,14,318.94,Low-Activity Customers
41,545,1,17.99,Inactive Customers
42,544,2,38.32,Inactive Customers
43,37,5,117.32,Low-Activity Customers
44,376,3,59.65,Inactive Customers
45,545,1,14.37,Inactive Customers
46,230,7,315.87,Low-Activity Customers
47,24,21,427.8,Low-Activity Customers
48,17,20,649.93,Engaged Customers
49,545,1,27.94,Inactive Customers
50,545,1,6.79,Inactive Customers
51,211,6,367.38,Low-Activity Customers
52,53,8,445.68,Low-Activity Customers
53,57,6,86.21,Low-Activity Customers
54,545,1,33.96,Inactive Customers
55,536,2,81.45,Inactive Customers
56,195,4,129.19,Low-Activity Customers
57,545,1,57.86,Inactive Customers
58,545,1,20.99,Inactive Customers
59,521,3,36.53,Inactive Customers
60,514,1,21.75,Inactive Customers
61,545,1,155.65,Inactive Customers
62,244,11,237.15,Low-Activity Customers
63,40,4,120.91,Low-Activity Customers
64,5,13,367.37,Low-Activity Customers
65,100,3,68.74,Low-Activity Customers
66,545,1,39.99,Inactive Customers
67,529,3,71.49,Inactive Customers
68,545,1,40.36,Inactive Customers
69,542,2,217.08,Inactive Customers
70,545,1,72.23,Inactive Customers
71,545,1,13.97,Inactive Customers
72,545,1,11.99,Inactive Customers
73,471,3,94.57,Inactive Customers
74,545,1,41.99,Inactive Customers
75,545,1,69.81,Inactive Customers
76,545,1,9.99,Inactive Customers
77,545,1,12.97,Inactive Customers
78,68,2,95.26,Low-Activity Customers
79,545,1,77.44,Inactive Customers
80,545,1,43.46,Inactive Customers
81,276,14,430.69,Low-Activity Customers
82,81,6,242.8,Low-Activity Customers
83,73,4,101.68,Low-Activity Customers
84,545,1,13.97,Inactive Customers
85,543,1,26.31,Inactive Customers
86,545,1,23.94,Inactive Customers
87,265,4,206.55,Low-Activity Customers
88,251,2,34.97,Low-Activity Customers
89,20,18,571.88,Engaged Customers
90,538,2,24.67,Inactive Customers
91,545,1,32.54,Inactive Customers
92,440,2,53.34,Inactive Customers
93,543,2,219.33,Inactive Customers
94,544,1,44.1,Inactive Customers
95,6,29,1515.27,Engaged Customers
96,3,19,1445.99,Engaged Customers
97,94,4,324.75,Low-Activity Customers
98,403,2,76.46,Inactive Customers
99,196,7,267.25,Low-Activity Customers
100,71,3,55.24,Low-Activity Customers
101,528,1,23.54,Inactive Customers
102,121,4,157.47,Low-Activity Customers
103,74,3,110.49,Low-Activity Customers
104,545,1,14.96,Inactive Customers
105,545,1,35.31,Inactive Customers
106,150,6,202.1,Low-Activity Customers
107,545,1,21.99,Inactive Customers
108,545,1,17.96,Inactive Customers
109,513,2,204.46,Inactive Customers
110,545,1,27.94,Inactive Customers
111,10,16,1107.04,Engaged Customers
112,510,2,23.54,Inactive Customers
113,115,3,59.67,Low-Activity Customers
114,139,5,124.93,Low-Activity Customers
115,545,1,13.97,Inactive Customers
116,545,1,12.77,Inactive Customers
117,103,3,58.97,Low-Activity Customers
118,371,2,73.85,Inactive Customers
119,545,1,41.69,Inactive Customers
120,194,5,103.51,Low-Activity Customers
121,545,1,12.49,Inactive Customers
122,545,1,27.74,Inactive Customers
123,545,1,31.99,Inactive Customers
124,200,5,138.35,Low-Activity Customers
125,22,6,108.64,Low-Activity Customers
126,210,2,302.75,Low-Activity Customers
127,545,1,39.71,Inactive Customers
128,331,4,67.86,Inactive Customers
129,545,1,12.49,Inactive Customers
130,62,8,120.95,Low-Activity Customers
131,545,1,30.32,Inactive Customers
132,50,6,302.43,Low-Activity Customers
133,231,7,199.17,Low-Activity Customers
134,173,3,49.38,Low-Activity Customers
135,545,2,84.39,Inactive Customers
136,216,2,81.96,Low-Activity Customers
137,545,1,27.73,Inactive Customers
138,545,1,14.99,Inactive Customers
139,540,1,11.77,Inactive Customers
140,423,2,44.06,Inactive Customers
141,54,7,147.75,Low-Activity Customers
142,80,5,122.39,Low-Activity Customers
143,545,2,41.48,Inactive Customers
144,545,1,30.72,Inactive Customers
145,31,23,521.96,Low-Activity Customers
146,545,1,13.97,Inactive Customers
147,199,8,288.07,Low-Activity Customers
148,101,7,146.44,Low-Activity Customers
149,522,2,106.54,Inactive Customers
150,545,1,15.36,Inactive Customers
151,545,1,13.97,Inactive Customers
152,163,6,243.96,Low-Activity Customers
